"country","polity2","gdp","regime","wealth"
"US",10,18054,3,3
"CANADA",10,17173,3,3
"DOMIN REP",6,2166,3,2
"JAMAICA",10,2545,3,2
"TRINIDAD",9,7764,3,3
"MEXICO",0,5827,2,2
"GUATEMALA",3,2127,2,2
"HONDURAS",6,1377,3,1
"EL SALVADOR",6,1824,3,2
"NICARAGUA",6,1294,3,1
"COSTA RICA",10,3499,3,2
"PANAMA",8,2888,3,2
"COLOMBIA",8,3300,3,2
"VENEZUELA",9,6055,3,2
"GUYANA",-7,1094,1,1
"ECUADOR",9,2755,3,2
"PERU",8,2188,3,2
"BRAZIL",8,4042,3,2
"BOLIVIA",9,1658,3,2
"PARAGUAY",2,2128,2,2
"CHILE",8,4338,3,2
"ARGENTINA",7,4706,3,2
"URUGUAY",10,4602,3,2
"UK",10,13217,3,3
"IRELAND",10,9274,3,3
"NETHERLANDS",10,13029,3,3
"BELGIUM",10,13232,3,3
"LUXEMBOURG",10,16280,3,3
"FRANCE",9,13904,3,3
"SWITZERLAND",10,16505,3,3
"SPAIN",10,9583,3,3
"PORTUGAL",10,7478,3,3
"POLAND",5,3820,2,2
"AUSTRIA",10,12695,3,3
"HUNGARY",10,5357,3,2
"ITALY",10,12488,3,3
"YUGOSLAVIA",-5,4548,2,2
"GREECE",10,6768,3,3
"CYPRUS",10,8368,3,3
"BULGARIA",8,6203,3,2
"FINLAND",10,14059,3,3
"SWEDEN",10,14762,3,3
"NORWAY",10,14902,3,3
"DENMARK",10,13909,3,3
"ICELAND",10,13362,3,3
"GUINEA-B'AU",-6,689,1,1
"GAMBIA",8,799,3,1
"MALI",-7,531,1,1
"SENEGAL",-1,1145,2,1
"BENIN",0,920,2,1
"MAURITANIA",-7,791,1,1
"COTE D'IVOR",-7,1213,1,1
"GUINEA",-7,767,1,1
"BURKNA FASO",-7,511,1,1
"SIERRA LEO",-7,901,1,1
"GHANA",-7,902,1,1
"TOGO",-7,641,1,1
"CAMEROON",-8,1226,1,1
"NIGERIA",-5,995,2,1
"GABON",-6,3958,1,2
"CEN AFR REP",-7,579,1,1
"CHAD",-7,399,1,1
"CONGO",-8,2211,1,2
"UGANDA",-7,554,1,1
"KENYA",-7,911,1,1
"BURUNDI",-7,550,1,1
"RWANDA",-7,756,1,1
"MOZAMBIQUE",-7,760,1,1
"ZAMBIA",-9,689,1,1
"ZIMBABWE",-6,1182,1,1
"MALAWI",-9,519,1,1
"SO AFRICA",5,3248,2,2
"NAMIBIA",6,2854,3,2
"LESOTHO",-7,972,1,1
"MADAGASCAR",-6,675,1,1
"COMORO IS",4,564,2,1
"MAURITIUS",10,5838,3,2
"MOROCCO",-8,2151,1,2
"ALGERIA",-2,2777,2,2
"TUNISIA",-5,2910,2,2
"SUDAN",-7,757,1,1
"IRAN",-6,3392,1,2
"TURKEY",9,3741,3,2
"EGYPT",-3,1912,2,2
"SYRIA",-9,3897,1,2
"JORDAN",-4,2919,2,2
"ISRAEL",9,9298,3,3
"CHINA PR",-7,1324,1,1
"MONGOLIA",2,1842,2,2
"KOREA REP",6,6673,3,3
"JAPAN",10,14331,3,3
"INDIA",8,1264,3,1
"PAKISTAN",8,1394,3,1
"BANGLADESH",-5,1390,2,1
"SRI LANKA",5,2096,2,2
"THAILAND",3,3580,2,2
"LAOS",-7,1385,1,1
"MALAYSIA",4,5124,2,2
"SINGAPORE",-2,11710,2,3
"PHILIPPINES",8,1763,3,2
"INDONESIA",-7,1974,1,2
"AUSTRALIA",10,14445,3,3
"PAPUA NEW G",10,1425,3,1
"NEW ZEALAND",10,11513,3,3
"FIJI",5,4007,2,2
